BCV	text	func_morph	form_morph	strongs	lemma	normalized
Matt 1:7	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:7	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:7	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:7	Ῥοβοάμ,	N-PRI	N-PRI	4497	Ῥοβοάμ	Ῥοβοάμ	
Matt 1:7	Ῥοβοὰμ	N-PRI	N-PRI	4497	Ῥοβοάμ	Ῥοβοάμ	
Matt 1:7	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:7	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:7	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:7	Ἀβιά,	N-PRI	N-PRI	7	Ἀβιά	Ἀβιά	
Matt 1:7	Ἀβιὰ	N-PRI	N-PRI	7	Ἀβιά	Ἀβιά	
Matt 1:7	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:7	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:7	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:7	Ἀσάφ,	N-PRI	N-PRI	0760	Ἀσάφ	Ἀσάφ	
Matt 1:8	Ἀσὰφ	N-PRI	N-PRI	0760	Ἀσάφ	Ἀσάφ	
Matt 1:8	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:8	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:8	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:8	Ἰωσαφάτ,	N-PRI	N-PRI	2498	Ἰωσαφάτ	Ἰωσαφάτ	
Matt 1:8	Ἰωσαφὰτ	N-PRI	N-PRI	2498	Ἰωσαφάτ	Ἰωσαφάτ	
Matt 1:8	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:8	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:8	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:8	Ἰωράμ,	N-PRI	N-PRI	2496	Ἰωράμ	Ἰωράμ	
Matt 1:8	Ἰωρὰμ	N-PRI	N-PRI	2496	Ἰωράμ	Ἰωράμ	
Matt 1:8	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:8	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:8	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:8	Ὀζείαν,	N-ASM	N-ASM	3604	Ὀζίας	Ὀζείαν	
Matt 1:9	Ὀζείας	N-NSM	N-NSM	3604	Ὀζίας	Ὀζείας	
Matt 1:9	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:9	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:9	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:9	Ἰωαθάμ,	N-PRI	N-PRI	2488	Ἰωαθάμ	Ἰωαθάμ	
Matt 1:9	Ἰωαθὰμ	N-PRI	N-PRI	2488	Ἰωαθάμ	Ἰωαθάμ	
Matt 1:9	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:9	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:9	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:9	Ἄχαζ,	N-PRI	N-PRI	881	Ἀχάζ	Ἄχαζ	
Matt 1:9	Ἄχαζ	N-PRI	N-PRI	881	Ἀχάζ	Ἄχαζ	
Matt 1:9	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:9	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:9	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:9	Ἐζεκίαν,	N-ASM	N-ASM	1478	Ἑζεκίας	Ἐζεκίαν	
Matt 1:10	Ἐζεκίας	N-NSM	N-NSM	1478	Ἑζεκίας	Ἐζεκίας	
Matt 1:10	δὲ	CONJ	CONJ	1161	δέ	δέ	
